Diagram ID,Diagram title,Intended country or standard,Supply type,Voltage and phase,Earthing arrangement,Source reference,Reviewer name,Reviewer qualification,Review date,Revision number,"Status: Draft, Reviewed, Approved or Rejected",Required corrections
res_01,Single Pole Light Switch,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_02,Two-Way Staircase Switch,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_03,Intermediate Multi-Way Lighting,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_04,Single Socket Outlet,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_05,Ring Main Socket Circuit,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_06,Ceiling Fan with Regulator,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_07,Doorbell Circuit,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_01,Single Phase Distribution Board,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_02,Three Phase Distribution Board,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_03,Sub-Distribution Board,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_04,RCD Protected DB,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_05,SPD Protected Distribution Board,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_06,Three-Phase Load Balancing Example,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_01,DOL Motor Starter,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_02,Star-Delta Starter,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_03,Reverse Forward Motor Starter,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_04,Motor with Overload Relay,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_05,Timer-Based Motor Control,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_01,Off-Grid Solar Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_02,Hybrid Solar Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_03,Grid-Tie Solar Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_04,Solar Battery Bank Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_05,Solar DC Protection Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
generator_01,Manual Changeover Switch,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
generator_02,Generator ATS Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
generator_03,Generator Feeding Distribution Board,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
generator_04,Generator Earthing Diagram,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
smart_01,Smart Switch Without Neutral,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
smart_02,Smart Switch With Neutral,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
smart_03,Smart Relay Module,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
smart_04,Smart Breaker Concept,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_08,Dimmer Light Circuit,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_09,Two Gang Switch Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_10,Light with Socket Combination,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
res_11,Room Wiring Layout,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_07,Split Load DB,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_08,RCBO Distribution Board,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
dist_09,DB Surge and RCD Combined Layout,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_06,Soft Starter Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_07,VFD Motor Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
motor_08,Pump Float Switch Control,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_06,PV String Combiner Box,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_07,Microinverter Solar Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
solar_08,Solar Inverter AC DB Connection,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
generator_05,Portable Generator Changeover,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
generator_06,Three Phase Generator ATS,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
generator_07,Generator Battery Charger Circuit,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
smart_05,Zigbee Smart Relay Lighting,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
smart_06,Smart Contactor for Heavy Load,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
smart_07,Energy Monitor CT Wiring,Generic/Global,AC,230V/400V,,,,,,1.0,Draft,
