id,category,difficulty,title,asset,width,height,bytes,sha256,steps,components,content_version
res_01,residential,beginner,Single Pole Light Switch,assets/diagrams/res_01.webp,1000,545,40404,9db38a2ef0a9d8682de52b018cfb946366d42162a991c2e5ee3f875d7596194c,6,5,2.1.0-production-wiring-audit
res_02,residential,journeyman,Two-Way Staircase Switch,assets/diagrams/res_02.webp,1000,545,23694,290be21c635508dbb4712741cb4f5c59595cc1910d572227be1ee9559f501413,6,5,2.1.0-production-wiring-audit
res_03,residential,journeyman,Intermediate Multi-Way Lighting,assets/diagrams/res_03.webp,1000,545,41224,94204b95e85b0a73abed57c7fbc386f9f13f619e65a5a16734c2f905d0809d29,6,5,2.1.0-production-wiring-audit
res_04,residential,beginner,Single Socket Outlet,assets/diagrams/res_04.webp,1000,545,50930,5fa8f9d0a7f83995b17357949a2f9e6e0fccc921dd3c66a99db5e550c3bc78a0,6,5,2.1.0-production-wiring-audit
res_05,residential,journeyman,Ring Main Socket Circuit,assets/diagrams/res_05.webp,1000,545,77062,0a2d196861e78122f797e05ef59a26addb9f84d2ca342812a429eda491118325,6,5,2.1.0-production-wiring-audit
res_06,residential,journeyman,Ceiling Fan with Regulator,assets/diagrams/res_06.webp,1000,545,45622,7eed6205bfb3812f6a4631635285f82a87c8f1b2391af9f11b9469f3114b1451,6,5,2.1.0-production-wiring-audit
res_07,residential,beginner,Doorbell Circuit,assets/diagrams/res_07.webp,1000,545,48328,c71150dcd32b6c8482c5c7db6e1ca6a511c2099e75d8cfd99a9096ac8a61cf31,6,5,2.1.0-production-wiring-audit
dist_01,distribution,journeyman,Single Phase Distribution Board,assets/diagrams/dist_01.webp,1000,545,65706,41573efc288591edc0effbb5bc0ed46847a1bb609d8a1c5783ff27863b86dfc1,6,7,2.1.0-production-wiring-audit
dist_02,distribution,master,Three Phase Distribution Board,assets/diagrams/dist_02.webp,1000,545,55530,37b6c32270b9646ad6970abf11498acf26fd1772567f06ee84b40e5777478e18,6,7,2.1.0-production-wiring-audit
dist_03,distribution,journeyman,Sub-Distribution Board,assets/diagrams/dist_03.webp,1000,545,54328,ddfcedc8fc376b0ff01fa5fc72fc9e9d8d23220edce0720c6e4b72b365525d7b,6,6,2.1.0-production-wiring-audit
dist_04,distribution,journeyman,RCD Protected DB,assets/diagrams/dist_04.webp,1000,545,57400,1b962fdc1d9ed00f39619f86ba06fdb6cbc9e2cbe256ccf2bf6f1782aec2c70e,6,6,2.1.0-production-wiring-audit
dist_05,distribution,journeyman,SPD Protected Distribution Board,assets/diagrams/dist_05.webp,1000,545,67270,bc569b92af48a53914bbd0fa1521e3923ebdfb33f3727c4d61dcb55a072082c2,6,6,2.1.0-production-wiring-audit
dist_06,distribution,journeyman,Three-Phase Load Balancing Example,assets/diagrams/dist_06.webp,1000,545,67672,cb80dea238e06993b591ea64cd6308f97eb1615b05849b124154fd66b82871dc,6,6,2.1.0-production-wiring-audit
motor_01,motors,journeyman,DOL Motor Starter,assets/diagrams/motor_01.webp,1000,545,56704,143ba2e5fd4d61fb7e88c6dfebbe873957fc95ed54ba6ba5f073a3f484fbab3a,6,6,2.1.0-production-wiring-audit
motor_02,motors,master,Star-Delta Starter,assets/diagrams/motor_02.webp,1000,545,51218,e14c8c46ecf37a1ba8be7c871d7f7e4f86cdd35b4c495456cf296a6795d8f2f5,6,7,2.1.0-production-wiring-audit
