id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_letter,correct_answer,explanation,source_line
q001,basics,beginner,What is the SI unit of electrical current?,Ampere,Volt,Ohm,Watt,A,Ampere,Current is measured in amperes (A). It describes the rate of flow of electric charge.,82
q002,basics,beginner,"According to Ohm's Law, what happens to current if voltage doubles and resistance is unchanged?",Current halves,Current doubles,Current becomes zero,Resistance doubles,B,Current doubles,"I = V / R. If V doubles while R is constant, current doubles.",98
q003,basics,beginner,Which conductor is commonly used in building wiring because of good conductivity and practical cost?,Copper,Glass,Rubber,PVC,A,Copper,Copper is widely used because it has high conductivity and practical mechanical properties.,120
q004,basics,journeyman,What does 230 V AC normally represent on a household supply label?,Peak voltage,Battery voltage,RMS voltage,Frequency,C,RMS voltage,"AC supply voltage labels normally state RMS value, not peak value.",137
q005,basics,beginner,Which quantity is measured in kilowatt-hours on an electricity bill?,Power,Resistance,Frequency,Energy,D,Energy,kWh is energy: power used over time.,154
q006,basics,beginner,What is the purpose of insulation around a conductor?,Prevent unintended contact and leakage,Increase current,Make voltage higher,Replace earth wire,A,Prevent unintended contact and leakage,"Insulation prevents accidental contact, short circuits, and leakage within its rating.",170
q007,basics,beginner,Which prefix means one thousand?,milli,micro,kilo,mega,C,kilo,"Kilo means 1000, so 1 kW = 1000 W.",191
q008,basics,beginner,A nameplate showing 50 Hz means the equipment is rated for what?,Earth resistance,Cable size,Breaker curve,Supply frequency,D,Supply frequency,50 Hz is the supply frequency rating. Pakistan mains supply is normally 50 Hz.,206
q009,basics,journeyman,"If a 10 Ω resistor carries 2 A, what is the voltage across it?",20 V,5 V,10 V,200 V,A,20 V,V = I × R = 2 × 10 = 20 V.,228
q010,basics,journeyman,What material property mainly determines conductor resistance for a given length and area?,Color,Resistivity,Weight,Brand,B,Resistivity,"Resistance depends on material resistivity, length, and cross-sectional area.",244
q011,basics,beginner,What is the symbol for resistance?,R,V,I,P,A,R,Resistance is represented by R and measured in ohms.,261
q012,basics,beginner,Which statement best describes voltage?,Rate of energy use,Opposition to current,Potential difference between two points,Number of electrons in a wire,C,Potential difference between two points,Voltage is electrical potential difference between two points.,276
q013,basics,beginner,Why should units always be written with measured values?,To make notes longer,To avoid calculation and installation mistakes,To replace testing,To remove need for labels,B,To avoid calculation and installation mistakes,"A value without a unit can be misread, causing wrong cable, breaker, or equipment selection.",297
q014,basics,beginner,What is direct current (DC)?,Current that periodically reverses,Current with no voltage,Current only in transformers,Current that flows in one direction,D,Current that flows in one direction,"DC flows in one direction, such as from batteries or solar panels.",318
q015,basics,journeyman,Which is safest before reading a motor nameplate inside a panel?,Isolate and verify zero energy,Touch terminals first,Use any screwdriver as tester,Ignore PPE for low voltage,A,Isolate and verify zero energy,"Before working inside electrical equipment, isolate and prove dead using proper PPE and tester.",339
q016,safety,beginner,What is the first practical safety step before touching a circuit conductor?,Trust the conductor color without testing,Verify zero energy after isolation,Increase breaker size,Remove earth wire,B,Verify zero energy after isolation,Always isolate and verify zero energy before touching conductors.,361
q017,safety,beginner,What does LOTO stand for?,Load Output Test Only,Live Operation Tool Order,Lockout/Tagout,Line Open Test Output,C,Lockout/Tagout,"LOTO means Lockout/Tagout, used to prevent unexpected energization.",384
q018,safety,journeyman,Which device is primarily used to reduce shock risk from earth leakage?,Contactor,Ordinary switch,MCB used only for overcurrent protection,RCD/RCCB,D,RCD/RCCB,RCD/RCCB detects leakage imbalance and disconnects supply quickly.,406
